Opcode,ALUFn,Instruction,RegWrite,MemWrite,MemRead,InstFmt,MemToReg,AluSrc,AluOp,CondOp,JType,XtendSel,Exc,Rtn,Halt,FPInst,FPIntCvtReg,InstMemRead,UnsignedOp,MemGran
8'b111100,??,FEQ,1,0,0,2'b10,0,0,5'b01100,2'b00,2'b00,0,0,0,0,1,2'b00,0,0,2'b00
8'b111110,??,FLE,1,0,0,2'b10,0,0,5'b01110,2'b00,2'b00,0,0,0,0,1,2'b00,0,0,2'b00
8'b111111,??,FLT,1,0,0,2'b10,0,0,5'b01101,2'b00,2'b00,0,0,0,0,1,2'b00,0,0,2'b00
8'b100001,??,FCVTI,1,0,0,2'b10,0,0,5'b00100,2'b00,2'b00,0,0,0,0,1,2'b01,0,0,2'b00
8'b100000,??,ICVTF,1,0,0,2'b10,0,0,5'b00101,2'b00,2'b00,0,0,0,0,1,2'b10,0,0,2'b00
8'b100011,??,FMOVI,1,0,0,2'b10,0,0,5'b00110,2'b00,2'b00,0,0,0,0,1,2'b01,0,0,2'b00
8'b100010,??,IMOVF,1,0,0,2'b10,0,0,5'b00111,2'b00,2'b00,0,0,0,0,1,2'b10,0,0,2'b00
8'b110000,??,FST,0,1,0,2'b01,0,1,5'b00000,2'b00,2'b00,0,0,0,0,1,2'b00,0,0,2'b00
8'b110001,??,FLD,1,0,1,2'b01,1,1,5'b00000,2'b00,2'b00,0,0,0,0,1,2'b00,0,0,2'b00
8'b100100,??,FCLASS,1,0,0,2'b10,0,0,5'b01000,2'b00,2'b00,0,0,0,0,1,2'b10,0,0,2'b00
8'b110010,??,STB,0,1,0,2'b01,0,1,5'b00000,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b01
8'b110011,??,LDB,1,0,1,2'b01,1,1,5'b00000,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b01
8'b110100,??,STH,0,1,0,2'b01,0,1,5'b00000,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b10
8'b110101,??,LDH,1,0,1,2'b01,1,1,5'b00000,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b10
8'b101010,??,XORSI,1,0,0,2'b01,0,1,5'b00010,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
8'b110111,??,SRAI,1,0,0,2'b01,0,1,5'b00111,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
8'b111010,11,SRA,1,0,0,2'b10,0,0,5'b00111,2'b00,2'b00,0,0,0,0,0,2'b00,0,0,2'b00
